"lemon64_name"	"lemon64_id"	"lemon64_slug"	"atari_legend_id"
"Last Ninja 3"	1490	"last-ninja-3"	2081
"Last Ninja Remix"	1491	"last-ninja-remix"	2311
"Leaderboard Golf"	1500	"leaderboard-golf"	91
"Leather Goddesses of Phobos"	1503	"leather-goddesses-of-phobos"	3457
"LED Storm"	1504	"led-storm"	2090
"Lemmings"	1513	"lemmings"	2101
"Lethal Weapon"	1516	"lethal-weapon"	2087
"Leviathan"	1518	"leviathan"	318
"Licence to Kill"	1520	"licence-to-kill"	302
"Line of Fire"	1523	"line-of-fire"	2113
"Little Computer People"	1525	"little-computer-people"	2114
"Little Puff in Dragonland"	1528	"little-puff-in-dragonland"	2115
"Live and Let Die"	1529	"live-and-let-die"	175
"Locomotion"	1533	"locomotion-kingsoft"	2123
"Log!cal"	1536	"log-cal"	2125
"Logo"	1537	"logo"	2126
"Loopz"	1540	"loopz"	2129
"Lords of Chaos"	1542	"lords-of-chaos"	2130
"Lords of Conquest"	1543	"lords-of-conquest"	2131
"Lords of Doom"	1544	"lords-of-doom"	3305
"Lotus Esprit Turbo Challenge"	1548	"lotus-esprit-turbo-challenge"	503
"Lucky Luke: Nitroglycerine"	1552	"lucky-luke-nitroglycerine"	4159
"Lurking Horror, The"	1556	"lurking-horror"	3446
"Macadam Bumper"	1559	"macadam-bumper"	357
"Mad Mix Game: The Pepsi Challenge"	1563	"mad-mix-game"	167
"Manchester United: The Official Computer Game"	1587	"manchester-united-the-official-computer-game"	519
"Manchester United Europe"	1588	"manchester-united-europe"	2162
"Maniac Mansion"	1591	"maniac-mansion"	3354
"Maniax"	1593	"maniax"	2169
"Marble Madness"	1596	"marble-madness"	2172
"Match of the Day"	1614	"match-of-the-day"	2179
"Mayday Squad!"	1624	"mayday-squad"	3295
"McDonald Land"	1627	"mcdonald-land"	2188
"Mean Machine"	1630	"mean-machine"	2190
"Mean Streets"	1632	"mean-streets"	505
"Mega Phoenix"	1637	"mega-phoenix"	4483
"Menace"	1644	"menace"	241
"Mercenary: Escape from Targ"	1645	"mercenary-escape-from-targ"	3542
"Mercs"	1647	"mercs"	2202
"Metro-Cross"	1658	"metro-cross"	169
"Mickey Mouse"	1664	"mickey-mouse"	2210
"Mickey's Runaway Zoo"	1665	"mickeys-runaway-zoo"	4627
"MicroProse Soccer"	1671	"microprose-soccer"	2214
"Midnight Resistance"	1672	"midnight-resistance"	551
"MIG-29 Soviet Fighter"	1674	"mig-29-soviet-fighter"	2221
"Mighty Bomb Jack"	1677	"mighty-bomb-jack"	2227
"Mike Read's Computer Pop Quiz"	1678	"mike-reads-computer-pop-quiz"	334
"Mindshadow"	1684	"mindshadow"	2274
"Mission Elevator"	1694	"mission-elevator"	216
"Monty Python's Flying Circus"	1706	"monty-pythons-flying-circus"	2255
"Moon Patrol"	1710	"moon-patrol-atarisoft"	57
"MoonFall"	1713	"moonfall"	2259
"Moonmist"	1714	"moonmist"	3455
"Moonwalker: The Computer Game"	1719	"moonwalker"	3324
"Motor Massacre"	1724	"motor-massacre"	2263
"Mr. HELI"	1736	"mr-heli"	2272
"Munsters, The"	1750	"munsters"	218
"MYTH: History in the Making"	1761	"myth-history-in-the-making"	30
"NARC"	1762	"narc"	2286
"Narco Police"	1763	"narco-police"	581
"Navy Moves"	1768	"navy-moves"	297
"Navy Seals"	1769	"navy-seals"	2291
"Nebulus"	1771	"nebulus"	86
"Neighbours"	1773	"neighbours"	3676
"Netherworld"	1779	"netherworld"	181
"Newzealand Story, The"	1783	"newzealand-story"	420
"Night Breed"	1789	"night-breed"	2303
"Night Shift"	1793	"night-shift"	2302
"Nine Princes in Amber"	1794	"nine-princes-in-amber"	3960
"Ninja"	1795	"ninja-mastertronic"	80
"Ninja Spirit"	1800	"ninja-spirit"	515
"Ninja Warriors, The"	1801	"ninja-warriors"	2313
"Nord and Bert Couldn't Make Head or Tail of It"	1807	"nord-and-bert"	4126
"North & South"	1808	"north-and-south"	28
"NorthStar"	1810	"northstar"	33
"Oil Imperium"	1821	"oil-imperium"	361
"Operation Hongkong"	1843	"operation-hongkong"	4164
"Operation Hormuz"	1844	"operation-hormuz"	286
"Operation Thunderbolt"	1847	"operation-thunderbolt"	513
"Operation Wolf"	1849	"operation-wolf"	214
"Out Run"	1864	"out-run"	2349
"Out Run Europa"	1865	"out-run-europa"	2350
"Overlander"	1867	"overlander"	78
"Oxxonian"	1869	"oxxonian"	2354
"P47 Thunderbolt"	1874	"p47-thunderbolt"	2357
"Pac-Land"	1875	"pac-land"	2360
"Pac-Mania"	1877	"pac-mania"	165
"Pang"	1882	"pang"	575
"Paperboy"	1885	"paperboy"	2373
"Passengers on the Wind"	1897	"passengers-on-the-wind"	3371
"Passing Shot"	1899	"passing-shot"	2379
"Pawn, The"	1901	"pawn"	2957
"Persian Gulf Inferno"	1912	"persian-gulf-inferno"	520
"Peter Beardsley's International Football"	1914	"peter-beardsleys-international-football"	2391
"Phantasie"	1917	"phantasie"	6
"Phantasie III: The Wrath of Nikademus"	1919	"phantasie-3"	3
"Phobia"	1925	"phobia"	305
"Pictionary: The Game of Quick Draw"	1926	"pictionary"	3410
"Pink Panther"	1935	"pink-panther"	3411
"Pipe Mania"	1936	"pipe-mania"	384
"Pirates!"	1941	"pirates"	355
"Pit-Fighter: The Ultimate Competition"	1946	"pit-fighter"	2408
"Planetfall"	1950	"planetfall"	3412
"Platoon"	1951	"platoon"	2413
"Plotting"	1954	"plotting"	480
"Plundered Hearts"	1955	"plundered-hearts"	3456
"Pool of Radiance"	1968	"pool-of-radiance"	4435
"Popeye II"	1971	"popeye-2"	3414
"Postman Pat"	1976	"postman-pat"	358
"Postman Pat III"	1978	"postman-pat-3"	4465
"Power Drift"	1983	"power-drift"	2437
"Pro Powerboat Simulator"	1985	"pro-powerboat-simulator"	466
"Predator"	1988	"predator"	199
"Predator 2"	1989	"predator-2"	2445
"Pro Boxing Simulator"	1995	"pro-boxing-simulator"	2460
"Pro Tennis Tour"	1997	"pro-tennis-tour"	1133
"Professional Ski Simulator"	1999	"professional-ski-simulator"	596
"Prohibition"	2001	"prohibition"	2469
"Protector"	2005	"protector"	2472
"Psycho: Arcade Quest"	2011	"psycho-arcade-quest"	2474
"Pub Trivia"	2016	"pub-trivia"	441
"Puffy's Saga"	2017	"puffys-saga"	2477
"Puzznic"	2026	"puzznic"	2489
"Questron II"	2056	"questron-2"	2501
"Rainbow Islands"	2078	"rainbow-islands"	2513
"Rainbow Warrior"	2079	"rainbow-warrior"	2514
"Rally Cross"	2080	"rally-cross-anco"	3688
"Rambo III"	2085	"rambo-3"	243
"Rampage"	2086	"rampage"	156
"Rampart"	2088	"rampart"	2518
"Real Ghostbusters, The"	2102	"real-ghostbusters"	2525
"Red Heat"	2114	"red-heat"	295
"Red Storm Rising"	2117	"red-storm-rising"	2535
"Renegade"	2119	"renegade"	3773
"Star Wars: Return of the Jedi"	2128	"star-wars-return-of-the-jedi"	161
"Revenge of the Mutant Camels"	2133	"revenge-of-the-mutant-camels"	2545
"Rick Dangerous"	2137	"rick-dangerous"	329
"Rick Dangerous II"	2138	"rick-dangerous-2"	495
"Rimrunner"	2140	"rimrunner"	5113
"RoadBlasters"	2144	"roadblasters"	277
"Roadwar 2000"	2148	"roadwar-2000"	10
"Roadwar Europa"	2149	"roadwar-europa"	2
"Roadwars"	2150	"roadwars"	2558
"Robin Hood: Legend Quest"	2153	"robin-hood-legend-quest"	2559
"RoboCop"	2157	"robocop"	282
"RoboCop 2"	2158	"robocop-2"	583
"Robotron: 2084"	2161	"robotron-2084"	34
"Robozone"	2163	"robozone"	2567
"Rock'n Roll"	2165	"rockn-roll"	390
"Rock Star Ate My Hamster"	2167	"rock-star-ate-my-hamster"	425
"Rocket Ranger"	2169	"rocket-ranger"	2571
"Rodland"	2172	"rodland"	3365
"RollerCoaster Rumbler"	2177	"rollercoaster-rumbler"	2579
"Rolling Ronny"	2178	"rolling-ronny"	2580
"Rolling Thunder"	2179	"rolling-thunder"	51
"Round the Bend!"	2182	"round-the-bend"	2590
"Roy of the Rovers"	2183	"roy-of-the-rovers"	2591
"R-Type"	2184	"r-type"	242
"Rubicon"	2186	"rubicon"	2593
"Ruff and Reddy"	2188	"ruff-and-reddy"	478
"Rugby: The World Cup"	2189	"rugby-the-world-cup"	3336
"Run the Gauntlet"	2193	"run-the-gauntlet"	419
"Running Man, The"	2194	"running-man"	2962
"S.T.U.N. Runner"	2201	"stun-runner"	582
"Saint Dragon"	2207	"saint-dragon"	2606
"Sarakon"	2219	"sarakon"	2612
"SAS Combat Simulator"	2220	"sas-combat-simulator"	427
"Satan"	2221	"satan"	552
"Savage"	2224	"savage"	290
"Scapeghost"	2228	"scapeghost"	3290
"Scooby & Scrappy Doo"	2235	"scooby-and-scrappy-doo"	2619
"Computer Scrabble De Luxe"	2240	"computer-scrabble-de-luxe"	56
"Seastalker"	2250	"seastalker"	3376
"Second World, The"	2252	"second-world"	3787
"Sentinel, The"	2260	"sentinel-firebird"	35
"Sex Vixens from Space"	2270	"sex-vixens-from-space"	2636
"Seymour at the Movies"	2271	"seymour-at-the-movies"	2637
"Shackled"	2272	"shackled"	111
"Shadow Dancer"	2273	"shadow-dancer"	2639
"Shadow of the Beast"	2274	"shadow-of-the-beast"	482
"Shadow Warriors"	2277	"shadow-warriors"	2643
"Shanghai"	2283	"shanghai"	417
"Sherlock: The Riddle of the Crown Jewels"	2293	"sherlock-the-riddle-of-the-crown-jewels"	3448
"Shiftrix"	2296	"shiftrix"	6075
"Shinobi"	2297	"shinobi"	2650
"SEUCK: Shoot-Em-Up Construction Kit"	2303	"seuck"	2634
"Sidewinder II"	2306	"sidewinder-2"	405
